NAME,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,FIPS,POPULATION,POP_SQMI,SQMI,Homicide_Prev,Hospital,Transit,sum_Area_SquareKilomete,Polygon_Count,AnalysisArea,Homicide
Sierra County,California,CA,6,91,6091,3236,3.4,962.16,0.00002142,0.00000075,0.00050543,2498.575507,1,2498.575511,-0.00002142
Siskiyou County,California,CA,6,93,6093,44076,6.9,6347.94,0.00014502,0.0000051,0.00342233,16424.71491,1,16424.71491,-0.00014502
Solano County,California,CA,6,95,6095,453491,542.4,836.07,0.71583436,0.01189481,0.00041374,2081.999616,7,2086.135709,-0.71583436
Sonoma County,California,CA,6,97,6097,488863,307.7,1588.66,0.13016217,0.00241434,3.14412184,4140.610867,2,4143.459214,-0.13016217
Stanislaus County,California,CA,6,99,6099,552878,365.2,1513.92,0.00003335,0.00035335,0.00078698,3999.657811,1,3999.657812,-0.00003335
Sutter County,California,CA,6,101,6101,99633,163.8,608.41,0.00198326,0.00016707,0.00031606,1574.44255,2,1574.442551,-0.00198326
Tehama County,California,CA,6,103,6103,65829,22.2,2962.18,0.0000657,0.00000231,0.00155046,7605.343133,1,7605.343133,-0.0000657
Trinity County,California,CA,6,105,6105,16112,5,3207.61,0.00007171,0.00000252,0.00169241,8237.734357,1,8237.734355,-0.00007171
Tulare County,California,CA,6,107,6107,473117,97.8,4838.29,0.00010111,0.00000355,0.00238614,12337.12239,1,12337.12239,-0.00010111
Tuolumne County,California,CA,6,109,6109,55620,24.5,2274.45,0.00004948,0.00000174,0.00116772,5897.708821,1,5897.708821,-0.00004948
Ventura County,California,CA,6,111,6111,843843,455,1854.54,0.03860646,0.00297844,0.09842863,4764.65669,4,4766.31588,-0.03860646
Yolo County,California,CA,6,113,6113,216403,211.4,1023.57,0.01535748,0.00042009,0.52381756,2664.722158,2,2664.722158,-0.01535748
Yuba County,California,CA,6,115,6115,81575,126.7,644.01,0.00001418,0.00003551,0.00033466,1661.677341,1,1661.677342,-0.00001418
