NAME,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,FIPS,POPULATION,POP_SQMI,SQMI,Homicide_Prev,Hospital,Transit,sum_Area_SquareKilometers,Polygon_Count,AnalysisArea,Homicide
Johnson County,Texas,TX,48,251,48251,179927,245.1,734.13,0.02616726,0.00424638,0.00243444,1889.149234,3,1889.149233,-0.02616726
Jones County,Texas,TX,48,253,48253,19663,21,937.14,0.00033614,0.00000068,0.0025706,2448.989349,1,2448.989348,-0.00033614
Karnes County,Texas,TX,48,255,48255,14710,19.5,753.55,0.00025913,0.00000053,0.00255903,1963.353959,1,1963.353959,-0.00025913
Kaufman County,Texas,TX,48,257,48257,145310,179.9,807.62,0.04878431,0.00203855,0.00162834,2107.816853,4,2107.816852,-0.04878431
Kendall County,Texas,TX,48,259,48259,44279,66.8,663.03,0.00022671,0.00074695,0.00173535,1700.586122,1,1700.586126,-0.00022671
Kenedy County,Texas,TX,48,261,48261,350,0.2,1444.8,0.15454864,0.00221166,0.00319175,3629.229973,4,3640.441117,-0.15454864
Kent County,Texas,TX,48,263,48263,753,0.8,902.92,0.00032588,0.00000066,0.00223413,2362.853228,1,2362.853228,-0.00032588
Kerr County,Texas,TX,48,265,48265,52598,47.5,1107.29,0.00036516,0.00000281,0.00218871,2735.801044,1,2735.801045,-0.00036516
Kimble County,Texas,TX,48,267,48267,4286,3.4,1251.14,0.00044267,0.0000009,0.00155633,3302.650471,1,3302.650472,-0.00044267
King County,Texas,TX,48,269,48269,265,0.3,913.35,0.00033809,0.00000069,0.0011908,2439.210585,1,2439.210585,-0.00033809
Kinney County,Texas,TX,48,271,48271,3129,2.3,1365.12,0.00046553,0.00000094,0.00122754,3512.378916,1,3515.105034,-0.00046553
Kleberg County,Texas,TX,48,273,48273,31040,34.9,888.45,0.06986049,0.00315316,0.00193903,2253.969281,2,2261.48896,-0.06986049
